product_id,brand,product,category,subcategory,price,size,image,no_of_reviews,about_the_product,ingredients,how_to_use
pimprod2008642,PEACH & LILY,Overnight Star Night Cream,K-Beauty,,$45.00,2.70 oz,https://media.ulta.com/i/ulta/2550582?w=100&h=100&fmt=auto,980 Reviews,"Benefits
Antioxidant-rich formula leaves skin visually brighter and more radiant
Improves the appearance of fine lines and dehydrated skin
Lightweight non-greasy formula melts into skin
Works rapidly overnight, so you wake up with noticeable results
100% Worry Free: Peach & Lily formulas are non-toxic, alcohol-free, fragrance-free, & gluten-free
Key Ingredients
Acai Berry Extract: helps revive the look of dry, dull skin
Ginseng: helps fight premature aging
Jojoba Seed Oil: contains antimicrobial properties and provides deep hydration
Peptide Complex: helps reduce the appearance of lines and sagging skin","Water (Aqua), Propanediol, Caprylic/Capric Triglyceride, Squalane, Glycerin, Cetearyl Alcohol, Jojoba Esters, Simmondsia Chinensis (Jojoba) Seed Oil, Triethylhexanoin, Niacinamide, Macadamia Ternifolia Seed Oil, 1,2-Hexanediol, Panax Ginseng Root Extract, Euterpe Oleracea Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Hydrolyzed Hyaluronic Acid, Centella Asiatica Extract, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Eclipta Prostrata Extract, Leuconostoc/Radish Root Ferment Filtrate, Collagen, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Moringa Oleifera Seed Oil, Oligopeptide-1, Allantoin, Lactobacillus Ferment, Panthenol, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Ocimum Sanctum Leaf Extract, Solanum Melongena (Eggplant) Fruit Extract, Syringa Vulgaris (Lilac) Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Adenosine, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Diethoxyethyl Succinate, Sorbitan Olivate, Citric Acid, Tocopherol, Glucose, Cetearyl Glucoside, Cetearyl Olivate, Coco-Caprylate/Caprate, Dipotassium Glycyrrhizate, Aloe Barbadensis Flower Extract, Hydroxyacetophenone, Trisodium Ethylenediamine Disuccinate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Xantham Gum, Lavandula Angustifolia (Lavender) Oil.","In the PM, apply as the last step of your routine, instead of your regular moisturizer.
External use only. Avoid contact with eyes. Keep out of reach of children. Store in a cool, dry place."
pimprod2033960,Clinique,Skin School Supplies: Glowing Skin Essentials Set,By Category,Skin Gifts,$20.00,,https://media.ulta.com/i/ulta/2598064?w=100&h=100&fmt=auto,49 Reviews,"Benefits
All Skin Types
Your glow-to routine for round-the-clock radiance.
On the Go: Mist. Bursting with moisture and activated aloe water, Moisture Surge Face Spray immediately hydrates, softening and soothing skin in a flash.
Overnight: Mask. Moisture Surge Overnight Mask replenishes all night long, so you'll wake up to soft, dewy, glowing skin.
Paraben-free. Phthalate-free. Fragrance free.
Includes
Moisture Surge 100H Auto-Replenishing Hydrator (0.5 oz)
Moisture Surge Overnight Mask (1.0 oz)
Moisture Surge Face Spray (1.0 oz)",See packaging for full ingredient listing.,
pimprod2045647,Naturium,Barrier Bounce Advanced Skin Hydrator,Treatment & Serums,Face Serums,$23.99,1.7 oz,https://media.ulta.com/i/ulta/2627345?w=100&h=100&fmt=auto,158 Reviews,"Benefits
Plumps for instant hydration
Leaves complexion visibly radiant
Provides a dewy finish
Dermatologist tested
Fragrance free
Vegan, paraben & cruelty free
Features
Multi-functional product that can be used throughout your routine to instantly help plump, hydrate and brighten dehydrated, dull, and dry skin
Key Ingredients
2% Urea: moisturizing humectant that helps preserve skin hydration & health
5% Squalane: supports a healthy skin barrier
Ceramide Complex: supports skin barrier, nourishing, conditioning & plumping skin with moisture","Aqua/Water/Eau, Octyldodecanol, Squalane, Shea Butter Ethyl Esters, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Propanediol, C13-15 Alkane, Crambe Abyssinica Seed Oil Phytosterol Esters, Urea, Glycerin, Silica, Polyglyceryl-3 Polyricinoleate, Sodium Chloride, Simmondsia Chinensis (Jojoba) Seed Oil, Silybum Marianum Seed Oil, Ceramide NP, Cholesterol, Oleic Acid, Blakeslea Trispora Mycelium Extract, Salicornia Herbacea Extract, Sodium Hyaluronate, Caprylic/Capric Triglyceride, Disteardimonium Hectorite, Phytosphingosine, Hydrogenated Poly(C6-14 Olefin), Benzotriazolyl Dodecyl P-Cresol, Hydrogenated Lecithin, Lactic Acid, Butylene/Ethylene/Styrene Copolymer, Ethylene/Propylene/Styrene Copolymer, Stearic Acid, Sodium Hydroxide, Citric Acid, Ethylhexylglycerin, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Sodium Sulfate, Sodium Carbonate, Tocopherol, Caprylyl Glycol, Caprylhydroxamic Acid, 1,2-Hexanediol, Phenoxyethanol, Manganese Violet (CI 77742).","Shake well! Apply an even layer onto face, neck and chest. If you have dry skin, use Barrier Bounce as your serum step for enhanced barrier support. If you want glowing skin, use Barrier Bounce on top of your skincare routine for that extra radiant complexion."
pimprod2051007,Clinique,Even Better Clinical Vitamin Makeup Broad Spectrum SPF 45 Foundation,Face,Foundation,$48.00,Light Cool 1,https://media.ulta.com/i/ulta/2637158?w=100&h=100&fmt=auto,464 Reviews,"Benefits
Skin Types: Dry, Dry Combination, Combination Oily
Oil-free liquid foundation delivers light coverage and a vibrant finish that leaves skin with a natural, healthy radiance.
Vitamin-Powered Formula: This dermatologist-tested formula is rich in vitamins that help support skin's natural energy, brighten, and defend for more radiant, healthy-looking bare skin over time.
Luxurious Feel: Weightless, hydrating formula blends effortlessly and melts into skin for a smooth application.
Sun Protection: SPF 45 helps protect skin from future sun damage.
Flexible Shades: Light coverage means that each shade can flex across different skin tones.
12-hour wear. Color true. Non-streaking. Non-caking. Non-settling.
12-hour hydration.
8-hour antioxidant defense: With antioxidants to help defend against environmental aggressors, including blue light, infrared and pollution. (Clinical testing on 21 women after one application.)
Waterproof. Sweat and humidity resistant.
Oil-free.
Non-comedogenic.
No grey cast.
Free Of: Parabens, phthalates, oil, synthetic colors, sodium lauryl sulfate, sodium laureth sulfate.
Ophthalmologist tested. Safe for sensitive eyes. Safe for contact lens wearers.
Dermatologist tested. Safe for sensitive skin.
Allergy tested. 100% fragrance free.
Tested on all skin tones.
Key Ingredients
4% vitamin B3: Helps support skin's natural energy.
5 forms of vitamin C: Provide multi-action benefits. Two forms help visibly brighten skin and three forms help provide antioxidant defense, with different rates of penetration to the skin's surface.
Vitamin E: Helps provide antioxidant defense for the lipid barrier.
SPF 45: A combination of physical sunscreens that reflect UV away from skin, and chemical sunscreens that capture UV rays.
Research Results
In 1 week: 96% say skin looks more vibrant.*
In 2 weeks: Bare skin looks healthier and more radiant.**
94% showed improvement in hydration on bare skin.**
96% showed improvement in moisture barrier strength.***
*Consumer testing on 165 women after using product for 1 week.
**Clinical testing 72 women after 2 weeks of product use.
***Clinical testing 27 women after 2 weeks of product use.","Ensulizole 2.7%, Octinoxate 6.7%, Octisalate 4.5%, Zinc Oxide 7.7%Ingredients: Water\Aqua\Eau, Methyl Trimethicone, Dimethicone, Niacinamide, Neopentyl Glycol Diheptanoate, Phenyl Trimethicone, Glycerin, Tromethamine, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Hdi/Ppg/Polycaprolactone Crosspolymer, Trimethylsiloxysilicate, Polysilicone-11, Hexyl Laurate, Cetyl Peg/Ppg-10/1 Dimethicone, Butylene Glycol, Ascorbyl Glucoside, Sodium Hyaluronate, Caffeine, Hydrolyzed Wheat Protein/Pvp Crosspolymer, Polyglyceryl-4 Isostearate, Trehalose, Acetyl Glucosamine, Triethyl Citrate, Hydrogenated Coco-Glycerides, Aminopropyl Ascorbyl Phosphate, Dimethicone/Divinyldimethicone/Silsesquioxane Crosspolymer, Polyethylene, Silica, Polymethylsilsesquioxane, Disteardimonium Hectorite, Polyhydroxystearic Acid, Glyceryl Stearate, Cetearyl Alcohol, Ammonium Polyacryloyldimethyl Taurate, Polysorbate 80, Stearic Acid, Polysorbate 20, Lecithin, Hydrogenated Lecithin, Palmitic Acid, Laureth-7, Sodium Phosphate, Disodium Phosphate, Potassium Hydroxide, Stearyl Alcohol, Behenyl Alcohol, Triethoxycaprylylsilane, Ascorbyl Palmitate, Tocopheryl Acetate, Magnesium Ascorbyl Phosphate, Tetrahexyldecyl Ascorbate, Bht, Disodium Edta, Phenoxyethanol, Potassium Sorbate, Sodium Dehydroacetate, [+/- Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499)].","Start in center of face, blending foundation outward.
Build coverage as needed.
Remove with your favorite Clinique makeup remover."
pimprod2030158,Lancôme,Rénergie H.C.F. Triple Serum,Treatment & Serums,Face Serums,$150.00,1.7 oz,https://media.ulta.com/i/ulta/2590109?w=100&h=100&fmt=auto,"3,616 Reviews","Features
The first triple-dose serum of its kind on the market, targeting visible improvement of aging signs, layer by layer. Layer 1 - Volume Loss, Layer 2 - Wrinkles, Layer 3 - Dark Spots.
The expert combination of ingredients in this formula, represented by the name H.C.F. - Hyaluronic Acid, Vitamin C+ Niacinamide, and Ferulic Acid - is designed to deliver optimal anti-aging benefits without being harsh on the skin.
This triple-serum formulation uses a safe and balanced approach, designed with ingredient concentrations that complement each other and avoid causing skin sensitivity or irritation.
The innovative triple-chamber packaging houses each serum in its own chamber.
With each pump of the product, the ingredients from the three chambers are freshly mixed, helping to maintain higher levels of potency and stability than if the ingredients were formulated in the same chamber.
Texture: A unique combination of three textures (gel, cream, & emulsion) is blended into one caring triple-dose serum.
Addresses volume loss, plumping, fine lines, wrinkles, dark spots.
Non-comedogenic, sulfate-free, mineral oil-free.
Key Ingredients
Next-Generation Hyaluronic Acid: The latest evolution of Hyaluronic Acid designed with fragmented molecules to enhance absorption into skin and improve moisture retention, which can help visibly plump and smooth skin.
C+Niacinamide: Unique combination of a potent, fast-working form of Vitamin C and Niacinamide. Known for their ability to help visibly reduce dark spots, brighten skin appearance, and smooth the look of fine lines & wrinkles.
Ferulic Acid: A powerful antioxidant known to provide skin-protecting properties. Helps to neutralize harmful free-radical damage and protect against oxidative stress that can accelerate skin aging.
*Ingredient benefits are based on product formula testing, not on the individual ingredients.
Research Results
Skin is more supple (+14.7%)*
Skin is smoother (+30.1%)*
Fine lines are reduced (-13.8%)*
Wrinkles are reduced (-7.6%)*
Dark spots are visibly smaller (-14.1%) and less intense (-15.0%)*
Skin is firmer and less saggy (-12.0%)**
*Based on 8-week results in a clinical study of 45 women.
**Based on 12-week results in a clinical study of 50 women.","Aqua / Water / Eau, Dipropylene Glycol, Glycerin, Butylene Glycol, Propylene Glycol, Alcohol, Niacinamide, Isopropyl Lauroyl Sarcosinate, Pentylene Glycol, CI 77891 / Titanium Dioxide, Guanosine, Mica, Tocopheryl Acetate, Hydrolyzed Linseed Extract, Sodium Acetylated Hyaluronate, Sodium Benzoate, Phenoxyethanol, Phenylethyl Resorcinol, Stearic Acid, Adenosine, Caffeine, PEG-100 Stearate, Polyacrylate Crosspolymer-6, Silica Silylate, Palmitic Acid, Polysorbate 20, Polysorbate 80, Ammonium Polyacryloyldimethyl Taurate, Limonene, Xanthan Gum, Tin Oxide, Benzyl Alcohol, Isohexadecane, 3-O-Ethyl Ascorbic Acid, Caprylyl Glycol, Capryloyl Salicylic Acid, Boron Nitride, Ferulic Acid, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Sorbitan Oleate, Myristic Acid, Geraniol, Octocrylene, Butyl Methoxydibenzoylmethane, Potassium Cetyl Phosphate, Octyldodecanol, Cetyl Alcohol, Octyldodecyl Xyloside, Citric Acid, Citronellol, Glyceryl Stearate, Parfum / Fragrance.","Use daily, in morning skincare routine and evening skincare routine.
Step 1: Holding the product horizontally over the palm of your hand or fingertips, press down on the pump until the 3 formulas appear. For one application, dispense 2 pumps into the hand. Note: For first-time usage, turn the bottle upside-down and shake firmly a few times to prime the pumps to dispense the formulas.
Step 2: Mix together in your hand until the three formulas are blended into a single serum texture.
Step 3: Apply serum on a clean face and neck using outward and upwards motions for a visibly lifted effect.
Step 4: Follow with your usual moisturizer and eye cream.
Tip: Use with Advanced Génifique face serum to help strengthen the skin barrier and boost radiance. To layer, apply Advanced Génifique first, then follow with Rénergie H.C.F. Triple Serum."
pimprod2024933,TULA,Glow Starts Here Bestselling Skin Essentials Kit,Eye Treatments,Eye Serums,$138.00,,https://media.ulta.com/i/ulta/2580288?w=100&h=100&fmt=auto,73 Reviews,"Key Ingredients
Probiotic Extracts: help maintain skin balance
Sugar: provides gentle physical exfoliation
Papaya & Pineapple Enzymes: brighten & exfoliate skin to remove impurities
Glycolic Acid: helps exfoliate & resurface skin
Apple & Watermelon: hydrate & help smooth the look of fine lines & wrinkles
Peptides: help even the look of skin tone & firm skin
Hyaluronic Acid: helps hydrate skin
Rosehip Oil & Rosewater: help tone & nourish skin
Benefits
The Cult Classic Purifying Face Cleanser: gently removes dirt, impurities & makeup without stripping or over-drying.
So Polished Exfoliating Sugar Scrub: gently exfoliates & polishes skin plus melts away excess oil & buildup for smoother & brighter looking skin.
Secret Solutions Pro-Glycolic 10% Resurfacing Toner: exfoliates & resurfaces skin for a radiant glow.
Rose Glow & Get It Eye Balm: instantly hydrates, cools & reduces the look of fine lines & wrinkles- plus leaves a dewy glow.
24/7 Moisture Hydrating Day & Night Cream: clinically proven to provide all-day hydration & revive the appearance of dull & tired skin.
Includes
The Cult Classic Purifying Face Cleanser (6.7 oz)
So Polished Exfoliating Sugar Scrub (2.9 oz)
Secret Solutions Pro-Glycolic 10% Resurfacing Toner (3.0 oz)
Rose Glow & Get It Eye Balm (0.3 oz)
24/7 Moisture Hydrating Day & Night Cream (1.5 oz)","The Cult Classic Purifying Face Cleanser: Aqua/Water/Eau, Cocamidopropyl Betaine, Disodium Laureth Sulfosuccinate, Lauryl Glucoside, Glycerin, Sodium Lauryl Sulfoacetate, Bifida Ferment Lysate, Hydrolyzed Rice Protein, Curcuma Longa (Turmeric) Root Extract, Camellia Sinensis (Green Tea) Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Cichorium Intybus (Chicory) Root Extract, Camelina Sativa Seed Oil, Lactose, Lactis Proteinum/Milk Protein/Protéine du lait, Yogurt Powder, Olus Oil/Vegetable Oil/Huile végétale, Tocopheryl Acetate, Ascorbyl Palmitate, Panthenol, Carthamus Tinctorius (Safflower) Seed Oil, Polyquaternium-10, Butylene Glycol, Glycereth-7 Caprylate/Caprate, Inulin, Pentylene Glycol, Caprylyl Glycol, Bulnesia Sarmientoi Wood Oil, Citrus Limon (Lemon) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, Juniperus Mexicana Oil, Cananga Odorata Flower Oil, Citric Acid, Sorbic Acid, Ethylhexylglycerin, Disteareth-75 IPDI, Fragrance (Parfum), Phenethyl Alcohol, Alpha-Isomethyl ionone, Butylphenyl Methylpropional, Linalool, Phenoxyethanol. So Polished Sugar Scrub: Sucrose, Propylene Glycol Dicaprylate/Dicaprate, Octyldodecanol, PEG-7 Glyceryl Cocoate, Mangifera Indica (Mango) Seed Butter, Candelilla Cera/Euphorbia Cerifera (Candelilla) Wax/Cire de Candelilla, Disteardimonium Hectorite, Lactococcus Ferment Lysate, Bromelain, Papain, Lactic Acid, Carica Papaya (Papaya) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Ananas Sativus (Pineapple) Fruit Extract, Vitis Vinifera (Grape) Fruit Extract, Tocopheryl Acetate, Aqua/Water/Eau, Glycerin, Propylene Carbonate, Butylene Glycol, Sodium Chloride, Sodium Benzoate, Phenoxyethanol, Fragrance/Parfum, Limonene, Benzyl Salicylate, Butylphenyl Methylpropional. Secret Solutions Pro-Glycolic 10% Resurfacing Toner: Aqua/Water/Eau, Glycolic Acid, Butylene Glycol, Lactococcus Ferment Lysate, Sodium Hydroxide, Lactic Acid, Sodium Hyaluronate, Agar, Glycerin, Tremella Fuciformis Sporocarp (Mushroom) Extract, Camellia Sinensis Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Cichorium Intybus (Chicory) Root Extract, Carrageenan, Betaine, Glucose, Linum Usitatissimum (Linseed) Seed Oil, Xanthan Gum, Potassium Sorbate, Sodium Chloride, Sodium Benzoate, Polysorbate 20, Ethylhexylglycerin, Phenoxyethanol, Propanediol, Sodium Phytate. Rose Glow + Get It Eye Balm: Aqua/Water/Eau, Propanediol, Aloe Barbadensis Leaf Juice, Sodium Stearate, Xylitol, Lactococcus Ferment Lysate, Synthetic Fluorphlogopite, Oleth-20, Glycerin, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Caffeine, Pyrus Malus (Apple) Fruit Extract, Lactic Acid, Hyaluronic Acid, Rosa Canina Fruit Oil, Rosa Centifolia Flower Water, Vaccinium Angustifolium (Blueberry) Fruit Extract, Sodium Lactate, Diheptyl Succinate, Sodium PCA, Menthone Glycerin Acetal, Menthyl Lactate, Capryloyl Glycerin/Sebacic Acid Copolymer, Xanthan Gum, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate, Sodium Chloride, Citric Acid, Phenoxyethanol,Tocopherol, Yellow 5 (CI 19140), Carmine (CI 75470), Titanium Dioxide (CI 77891), Tin Oxide, Mica. 24-7 Moisture Day & Night Cream: Aqua/Water/Eau, Propanediol, Aloe Barbadensis Leaf Juice, Sodium Stearate, Xylitol, Lactococcus Ferment Lysate, Synthetic Fluorphlogopite, Oleth-20, Glycerin, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Caffeine, Pyrus Malus (Apple) Fruit Extract, Lactic Acid, Hyaluronic Acid, Rosa Canina Fruit Oil, Rosa Centifolia Flower Water, Vaccinium Angustifolium (Blueberry) Fruit Extract, Sodium Lactate, Diheptyl Succinate, Sodium PCA, Menthone Glycerin Acetal, Menthyl Lactate, Capryloyl Glycerin/Sebacic Acid Copolymer, Xanthan Gum, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate, Sodium Chloride, Citric Acid, Phenoxyethanol,Tocopherol, Yellow 5 (CI 19140), Carmine (CI 75470), Titanium Dioxide (CI 77891), Tin Oxide (CI 77861), Mica (CI 77019).","The Cult Classic Purifying Face Cleanser: massage onto wet skin & rinse with water. Use daily, AM & PM.
So Polished Exfoliating Sugar Scrub: apply a dime-sized amount & gently massage in a circular motion. Rinse with warm water. Use 2-4x per week.
Secret Solutions Pro-Glycolic 10% Resurfacing Toner: gently exfoliates, helping skin absorb products better & leaving skin looking smooth & even.
24-7 Moisture Hydrating Day & Night Cream: apply on clean skin, AM & PM.
Rose Glow + Get It Cooling & Brightening Eye Balm: apply to eye area, under or over makeup. Reapply for an instant pick-me-up."
pimprod2044812,r.e.m. beauty,Essential Drip Glossy Balm,Lips,Lip Balms & Treatments,$19.00,skinny dripped,https://media.ulta.com/i/ulta/2622471?w=100&h=100&fmt=auto,593 Reviews,"Features
moisturizes & hydrates lips instantly with treatment benefits
delivers a sheer flush of color similar to a lip gloss
smooth, silky feel on lips
improves lip texture and strengthens skin barrier
comes with a double-sided wand: paddle side for seamless application, opposite side hugs contours with precision","Skinny Dripped: Polybutene, Diisostearyl Malate, Silica Dimethyl Silylate, Passiflora Edulis Seed Oil, Ethyl Vanillin, Octyldodecyl Stearoyl Stearate, Pentaerythrityl Tetraisostearate, Simmondsia Chinensis (Jojoba) Seed Oil, Ricinus Communis (Castor) Seed Oil, Tocopheryl Acetate, Benzotriazolyl Dodecyl P-Cresol, Sodium Hyaluronate, Punica Granatum Flower Extract, Hydrogenated Castor Oil, Titanium Dioxide (Cl 77891), Red 28 Lake (CI 45410), Blue 1 Lake (CI 42090).","01 use the pointed tip for precise application to the upper lip and cupids bow, and the curved underside to hug the bottom lip and evenly spread product
02 use in place of gloss to top lip liner, lipstick, liquid lipstick, or on its own for a sheer wash of glossy color
03 reapply throughout the day as needed
04 for optimal results, exfoliate lips prior to using."
pimprod2049087,TATCHA,The Dewy Skin Cream Line-Plumping Moisturizer,Moisturizers,Face Moisturizer,$93.00,2.53 oz,https://media.ulta.com/i/ulta/2634100?w=100&h=100&fmt=auto,"1,143 Reviews","Benefits
Rich, decadent cream visibly reduces fine lines
Improves the barrier to seal in moisture
Provides antioxidant protection from premature aging
Non-comedogenic
Dermatologist tested
Includes up to 30% PCR (recycled plastic)
Formulated Without: mineral oil, synthetic fragrances, sulfate detergents, parabens, urea, DEA, TEA or phthalates
Key Ingredients
Hyaluronic Acid + Red Algae + Hadasei-3: attract moisture to plump & hydrate skin
Biomimetic Squalane: seals in moisture to keep skin hydrated longer
Japanese Purple Rice: protects skin from free radical damage like wrinkles
Research Results
3x hydration immediately*
88% showed an improvement in the look of dry fine lines after 2 weeks**
100% showed immediate improvement in skin plumpness, suppleness, and radiance**
100% showed an all-day improvement in radiance, moisture, & skin barrier†
86% agreed the cream works well with makeup after 1 week**
*based on a bio-instrumentation study of 30 panelists
**based on a clinical study of 36 panelists
†based on a clinical study of 36 panelists & a bio-instrumentation study of 30 panelists","Aqua/Water/Eau, Saccharomyces/Rice Ferment Filtrate, Glycerin, Propanediol, Dimethicone, Squalane, Diisostearyl Malate, Behenyl Alcohol, Myristyl Myristate, Dipentaerythrityl Hexahydroxystearate, Bis-Diglyceryl Polyacyladipate-2, Tridecyl Trimellitate, Inositol, Sorbitan Tristearate, Beheneth-20, Camellia Sinensis Leaf Extract, Cladosiphon Okamuranus Extract, Chondrus Crispus Extract, Betaphycus Gelatinum Extract, Oryza Sativa (Rice) Bran Extract, Panax Ginseng Root Extract, Origanum Majorana Leaf Extract, Thymus Serpyllum Extract, Malva Sylvestris (Mallow) Flower Extract, Sodium Hyaluronate, Gold, Sericin, Phytosteryl Macadamiate, Tocopherol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sorbitan Isostearate, Polysorbate 60, Butylene Glycol, Dimethicone/Vinyl Dimethicone Crosspolymer, Sodium Benzoate, Gluconolactone, Ethylhexylglycerin, Parfum/Fragrance, Alcohol, Phenoxyethanol, Citral, Limonene, Linalool, Mica, Tin Oxide, Titanium Dioxide (Ci 77891), Violet 2 (Ci 60725).","Use the gold spoon to scoop desired amount onto face, neck, and décolletage after your favorite serum. Massage in upward strokes. Use in the evening as part of your nightly ritual or in the morning leaving skin beautifully prepped for makeup.
To Recycle: Remove gold loop from cap by turning counterclockwise. Recycle the jar, cap, and pod together. Discard spoon and loop."
pimprod2049738,La Roche-Posay,Anthelios UV Pro-Sport Sunscreen SPF 50,Suncare,Sunscreen,$32.99,6.7 oz,https://media.ulta.com/i/ulta/2633774?w=100&h=100&fmt=auto,962 Reviews,"Benefits
Provides high-endurance, water-resistant sun protection against 98% of UVB rays with Cell-Ox Shield Technology
Blends easily on all skin tones without leaving a white cast on skin and without staining clothes
Non-drip formula won't run into eyes while sweating
Pediatrician tested and suitable for atopic-prone skin
Athlete approved & Dermatologist Tested
Key Ingredients
Glycerin, a humectant known for its hydrating properties
Broad Spectrum SPF 50, oxybenzone-free & Octinoxate-free
Cell-Ox Shield Technology, a key antioxidant technology that combines photostable UVA/UVB filters to deliver broad spectrum protection and powerful antioxidant proctection
Formulated Without
Parabens
Fragrance
Oxybenzone","Water, Dimethicone, Glycerin, Styrene/Acrylates Copolymer, Poly C10-30 Alkyl Acrylate, Polymethylsilsesquioxane, Acrylates/Dimethicone Copolymer, Niacinamide, Silica, Caprylyl Methicone, Diethylhexyl Syringylidenemalonate, P-Anisic Acid, Sodium Hyaluronate, Triethanolamine, Trisodium Ethylenediamine Disuccinate, Panthenol, Tocopherol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Caprylic/Capric Triglyceride, Caprylyl Glycol, Glyceryl Stearate, Inulin Lauryl Carbamate, Peg-100 Stearate, Peg-8 Laurate, Potassium Cetyl Phosphate, Sodium Dodecylbenzenesulfonate, Xanthan Gum, Chlorphenesin, Phenoxyethanol.","Apply 15 minutes before sun exposure. Reapply after 80 minutes of swimming or sweating, and at least every 2 hours."
pimprod2043230,BYOMA,Hydrating Milky Toner,Cleansers,Toner,$15.99,5.07 oz,https://media.ulta.com/i/ulta/2620406?w=100&h=100&fmt=auto,297 Reviews,"Benefits
A hydrating toner to soothe dry, dehydrated and sensitive skin
Proprietary Barrier Lipid Complex helps restore skin Barrier
Polyglutamic Acid and Cica deeply hydrate and minimize TEWL
Dermatologist tested & approved skincare
Alcohol & fragrance-free
Gentle enough for daily use
Recyclable bottles
Clinically proven to provide all day hydration
Clinically proven to reduce skin sensitivity
Clinically proven to protect and maintain skin barrier
Features
Formulated with Barrier Lipids and a barrier-supporting duo of Polyglutamic Acid and Cica to lock in moisture across multiple layers of the skin and minimise TEWL skin is instantly transformed, delivering soft, supple, and radiant results.
Key Ingredients
Barrier Lipids help restore skin barrier
Polyglutamic Acid and Cica deeply hydrate and minimize TEWL","Aqua, Butylene Glycol, Glycerin, Dipropylene Glycol, 1,2-Hexanediol, Panthenol, Limnanthes Alba (Meadowfoam) Seed Oil, Polyglutamic Acid, Pullulan, Saccharide Isomerate, Xanthan Gum, Centella Asiatica Extract, Gluconolactone, Sphingolipids, Sodium Citrate, Beta-Glucan, Tocopherol, Ceramide NP, Citric Acid, Carbomer, Ethylhexylglycerin, Polyglyceryl-3, Methylglucose Distearate, Tromethamine, Symphytum Officinale Root Extract, Hydrogenated Lecithin, Sodium Phytate, Sodium Hyaluronate, Methyl Glucose Sesquistearate, Cetearyl Glucoside.","Apply to clean, dry skin with hands and pat gently into face, neck and décolletage. Use AM + PM. Follow with your preferred Byoma serums + moisturizer.
Precautions: Eye irritation."
pimprod2048929,ANUA,Heartleaf 77 Soothing Toner,Cleansers,Toner,$21.00,8.45 oz,https://media.ulta.com/i/ulta/2634190?w=100&h=100&fmt=auto,127 Reviews,"Benefits
Daily soothing toner for hydrated skin
For normal skin
Fragrance-free
Free Of: Denatured Alcohols / Parabens / Artificial Color / Oil / Silicones / Sulfates / Mineral Oil / Methylchloroisothiazolinone / Methylisothiazolinone / Coal Tar Dyes / Nuts
Key Ingredients
HEARTLEAF+: Soothes sensitive skin irritations caused by dryness and helps maintain the skin's moisture
Hyaluronic Acid: Hydrates and moisturizes the skin
Research Results
97.52% improvement in 24-hour moisture retention
AFTER 2 WEEKS:
49.55% reduction in sebum levels
5.02% improvement in skin soothing","Houttuynia Cordata Flower/Leaf/Stem Water, Water, 1,2-Hexanediol, Glycerin, Betaine, Butylene Glycol, Isopentyldiol, Panthenol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Disodium EDTA, Tromethamine, Centella Asiatica Extract, Arctium Lappa Root Extract, Phellinus Linteus Extract, Portulaca Oleracea Extract, Chamomilla Recutita (Matricaria) Flower Extract, Vitex Agnus-Castus Extract, Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Potassium Hyaluronate.","Use after washing your face.
Apply with a cotton pad or pat it in with your fingertips all over your face.
Can be used every day, AM & PM."
